source,film_uri,film_key,film_title,film_year,tmdb_id,pred,release_shown,runtime,genres,overview,director,original_language,poster_path,out_of_range,sensitive_poster
watchlist,https://boxd.it/RZZO,The Scout (2025),The Scout,2025.0,1403519.0,3.87854053861638,2026-09-25,89,Drama|Comedy,"Sofia works as a location scout for a TV pilot filming in New York City. It’s her job to find the homes, businesses, and exteriors where the show will be filmed. Driving around the city's different neighborhoods, she enters the private spaces of strangers to photograph their cozy apartments and eclectic shops, stepping into the fabric of their lives while trying to satisfy the demands of her erratic employers. Over a day filled with these encounters, Sofia witnesses moments of curiosity, vulnerability, and quiet tension until her work takes a sudden, personal turn.",Paula Andrea Gonzalez-Nasser,en,/6cKjHu5Jog6wb65leue376lgSqY.jpg,,False
watchlist,https://boxd.it/TcSy,Coward (2026),Coward,2026.0,1437981.0,3.86349781703585,2026-10-21,120,Drama|Romance|War,"Pierre, a young Belgian soldier, wants to prove himself on the battlefield during the First World War. Behind the frontlines, he meets Francis, who is asked to find a way to boost morale.",Lukas Dhont,fr,/l05jDisMYVVpyAH3zgx1bUqPocZ.jpg,,False
watchlist,https://boxd.it/MRPQ,The Social Reckoning (2026),The Social Reckoning,2026.0,1281331.0,3.860532214105724,2026-10-07,112,Drama|Thriller,"Frances Haugen, a young Facebook engineer, enlists the help of Jeff Horwitz, a Wall Street Journal reporter, to go on a dangerous journey that ends up blowing the whistle on the social network's most guarded secrets.",Aaron Sorkin,en,/qZr5bxGXE1t2A9pNSikb9fQKzov.jpg,,False
watchlist,https://boxd.it/SDaQ,La Bola Negra (2026),La Bola Negra,2026.0,1422041.0,3.850669523978735,2026-09-25,155,Drama|War,"The intertwined lives of three men in three different eras, three lives intimately linked by sexuality and desire, pain, and legacy.",Javier Ambrossi,es,/oNvDkdJ0Ykx4sOrcxsFtE6LoOS.jpg,,False
watchlist,https://boxd.it/ImWe,Dune: Part Three (2026),Dune: Part Three,2026.0,1170608.0,3.850086724430408,2026-12-15,140,Science Fiction|Adventure,Emperor Paul Atreides faces the fallout from his ascent to power as political plots and a galaxy-wide holy war endanger the future only he can see.,Denis Villeneuve,en,/d43fvHQsIMa4kpyhKXw0haEJIvI.jpg,,False
watchlist,https://boxd.it/R6Xe,The Gallerist (2026),The Gallerist,2026.0,1379537.0,3.836087966334472,2026-12-04,88,Comedy|Drama,A desperate gallerist conspires to sell a dead body at Art Basel Miami.,Cathy Yan,en,/xqqno510An90CfExaIW5Co7m0xY.jpg,,False
watchlist,https://boxd.it/X3MY,Ink (2026),Ink,2026.0,1532610.0,3.82120210692163,2026-12-10,116,Drama|History,"A group of misfits and visionaries had an idea for a new kind of news - one that would give the people what they want, and would change the face of the world we live in today.",Danny Boyle,en,/aZECpoGsveEXtxogaz0GMiyVB6n.jpg,,False
watchlist,https://boxd.it/Z6lK,Club Kid (2026),Club Kid,2026.0,1585239.0,3.818541211086823,2026-11-04,126,Comedy|Drama,A hard-partying New York City club promoter sees his whirlwind lifestyle upended by the arrival of the 10-year-old son he never knew he had.,Jordan Firstman,en,/3CdM37GtEDMAp7fGlRn9MCpFjn1.jpg,,False
watchlist,https://boxd.it/LwDC,Digger (2026),Digger,2026.0,1248832.0,3.815641253281325,2026-09-30,129,Comedy,The most powerful man in the world embarks on a frantic mission to prove he is humanity's savior before the disaster he's unleashed destroys everything.,Alejandro G. Iñárritu,en,/1ATXKrIPJyKNwnJ6lcG088Sa6zi.jpg,,False
watchlist,https://boxd.it/TUbS,I See Buildings Fall Like Lightning (2026),I See Buildings Fall Like Lightning,2026.0,1455247.0,3.794284992691526,2026-12-04,109,Drama,"Childhood friends Patrick, Shiv, Rian, Oli, and Conor played together, skipped school together, and dreamt of the lives they would have one day. Now they’re thirty, and the future they imagined is slipping quietly out of reach.",Clio Barnard,en,/lsHuNs9qT8aVhVIxXNdLuVhr5CM.jpg,,False
watchlist,https://boxd.it/UPPK,Big Girls Don't Cry (2026),Big Girls Don't Cry,2026.0,1477963.0,3.7849877980554325,2026-10-08,100,Drama,"Over one transformative summer in rural New Zealand in 2006, 14-year-old Sid discovers desire, identity, and the internet as she imitates the people she longs to be loved by.",Paloma Schneideman,en,/u7AAna0FE3d0yIzlLeBbxIcvtp0.jpg,,False
watchlist,https://boxd.it/WXec,Black Church Bay (2026),Black Church Bay,2026.0,1530249.0,3.7833494580719496,2026-09-25,107,Drama|Thriller,"In a sleepy Welsh fishing village, Barry’s life starts to unravel after an intimate encounter with a younger man.",Rhys Marc Jones,en,/kJvQ2IST4eqzOdTSodse2w7tfYo.jpg,,False
watchlist,https://boxd.it/10Q8k,Clarissa (2026),Clarissa,2026.0,1630464.0,3.7655045010340995,2026-12-11,134,Drama,"A modern reimagining of the Virginia Woolf novel Mrs. Dalloway. Follows society woman Clarissa as she prepares to host a party at her home in Lagos, Nigeria, where she will unexpectedly encounter once-intimate friends from her youth. As the group reflects on their shared past over the course of a single night, memories of their intricate relationships, passionate love, hidden desires, and lost aspirations give rise to bittersweet reckoning.",Chuko Esiri,en,/9qS8heXhQdLoyGsqZHHb3HkrK62.jpg,,False
watchlist,https://boxd.it/NzPA,Josephine (2026),Josephine,2026.0,1299329.0,3.732743697768269,2026-10-22,119,Drama|Crime|Thriller,"After eight-year-old Josephine accidentally witnesses a brutal assault in Golden Gate Park, she begins acting out violently to protect herself. This emotional trauma leads to conflicts between her parents as they search for justice, and a way to feel safe again.",Beth de Araújo,en,/eqMWdviWwaRahQ7QkHLpXCpqIfu.jpg,,False
watchlist,https://boxd.it/Rw9k,The Debut (2026),The Debut,2026.0,1391239.0,3.70307847824743,2026-12-10,105,Music|Comedy|Drama,"When Mona Friedman is cast in a bit part at a small community theater, she transforms from a shy, unassuming housewife into a zealous method actor willing to do anything to protect the artistic integrity of her marginal role—even if it means waging war against the show’s domineering director.",Jesse Eisenberg,en,/5CZdxLiBpYMBXwo0rur6YzZTVP4.jpg,,False
watchlist,https://boxd.it/F1bK,A Talent for Murder (2026),A Talent for Murder,2026.0,1084409.0,3.678952519163751,2026-10-22,106,Drama|Crime,"A young man travels from New York to Switzerland to try to persuade acclaimed thriller writer Patricia Highsmith to write one final installment of her Tom Ripley series, with his efforts gradually turning more sinister.",Anton Corbijn,en,/mstDPKNKgSGFvVFVdfzeMNkcyw2.jpg,,False
popular,,Bitter Christmas (2026),Bitter Christmas,2026.0,1088548.0,3.993510542541328,2026-11-13,111,Drama|Comedy,"Elsa is an advertising director whose mother dies during a long December holiday. She works non-stop and, without realizing, doesn’t give herself time to mourn her mother’s absence. After a crisis, Elsa decides to travel to the island of Lanzarote accompanied by her friend Patricia, who also needs to get away from the city. The story of these characters runs parallel to that of a screenwriter and film director, exploring how life and fiction are inseparably linked, sometimes painfully so.",Pedro Almodóvar,es,/kiPGcHX0YT49nrab76G0bqw3gHW.jpg,,False
