source,film_uri,film_key,film_title,film_year,tmdb_id,pred,release_shown,runtime,genres,director,original_language,poster_path,out_of_range
watchlist,https://boxd.it/V4WQ,Possible Love (2026),Possible Love,2026.0,1483525.0,3.94846134169746,2026-09-23,165,Drama,Lee Chang-dong,ko,/dLz9yHeLw4x4sD0WTSNi7HuK2ke.jpg,
watchlist,https://boxd.it/w1Nc,Minotaur (2026),Minotaur,2026.0,848700.0,3.7896911638764603,2026-10-14,135,Drama|Crime|Thriller,Andrey Zvyagintsev,fr,/bM37B5CuMWrPyGPpNsKzTGict4Q.jpg,
watchlist,https://boxd.it/zs0M,Ray Gunn (2026),Ray Gunn,2026.0,940009.0,3.459561699572041,2026-10-10,119,Animation|Science Fiction|Crime|Mystery,Brad Bird,en,/qXexEAo999wlEp5rMsFnVSRaTSM.jpg,
watchlist,https://boxd.it/RaaU,Paper Tiger (2026),Paper Tiger,2026.0,1381273.0,3.0565083541659672,2026-11-12,115,Crime|Drama|Thriller,James Gray,en,/v023L1AFtd3rpy61B5JiEOR1sMF.jpg,
watchlist,https://boxd.it/ImWe,Dune: Part Three (2026),Dune: Part Three,2026.0,1170608.0,3.027690165048153,2026-12-15,140,Science Fiction|Adventure,Denis Villeneuve,en,/d43fvHQsIMa4kpyhKXw0haEJIvI.jpg,
watchlist,https://boxd.it/QX5s,Primetime (2026),Primetime,2026.0,1375441.0,2.9527152464494644,2026-09-23,110,Drama|Thriller,Lance Oppenheim,en,/lmrulvLbmaejTix1YaMxo1oGhH1.jpg,
watchlist,https://boxd.it/LwDC,Digger (2026),Digger,2026.0,1248832.0,2.8886331781378787,2026-09-30,129,Comedy,Alejandro G. Iñárritu,en,/1ATXKrIPJyKNwnJ6lcG088Sa6zi.jpg,
watchlist,https://boxd.it/Rw9k,The Debut (2026),The Debut,2026.0,1391239.0,2.7751751963084113,2026-12-10,105,Music|Comedy|Drama,Jesse Eisenberg,en,/5CZdxLiBpYMBXwo0rur6YzZTVP4.jpg,
watchlist,https://boxd.it/BVqy,Avengers: Doomsday (2026),Avengers: Doomsday,2026.0,1003596.0,2.769847624975719,2026-12-16,165,Science Fiction|Action|Adventure,Joe Russo,en,/jzPwsojjFStf5lR5Nm07w2hH56G.jpg,
watchlist,https://boxd.it/xG0M,Wild Horse Nine (2026),Wild Horse Nine,2026.0,891621.0,2.7295269014410204,2026-11-04,118,Comedy|Crime|Thriller,Martin McDonagh,en,/dNJFRtVg3xLQ7dbNIQ55cmmIniD.jpg,
watchlist,https://boxd.it/RTVm,Clayface (2026),Clayface,2026.0,1400940.0,2.716072709628695,2026-10-21,108,Horror|Thriller|Science Fiction,James Watkins,en,/5jCpQnWPikggmQZoDp1eAi6BI6w.jpg,
popular,,La bola negra (2026),La bola negra,2026.0,1422041.0,3.634252708990158,2026-11-06,155,Drama|War,Javier Ambrossi,es,/oNvDkdJ0Ykx4sOrcxsFtE6LoOS.jpg,
popular,,The Paradise (2026),The Paradise,2026.0,1376856.0,3.5763841061423887,2026-09-23,174,Action|Thriller|Drama,Srikanth Odela,te,/9k5F5Lk2bUP7ODifk1KP5Vw8yGm.jpg,
popular,,V (2026),V,2026.0,1567937.0,3.5223735245139784,2026-09-25,160,Drama|Crime,Han Yan,cn,/rNqQQ3hFknhKpy8OTyGfzk7FY20.jpg,
popular,,Gentle Monster (2026),Gentle Monster,2026.0,1473148.0,3.4090868918866253,2026-10-30,114,Drama,Marie Kreutzer,de,/v7sbP2qv8ezCfo9FOI6DVUXDSaw.jpg,
popular,,Sense and Sensibility (2026),Sense and Sensibility,2026.0,1503762.0,3.0453020469950154,2026-09-25,132,Drama|Romance,Georgia Oakley,en,/czsyPHosFNbh4PPqXfqWu1aBXnA.jpg,
popular,,Godzilla Minus Zero (2026),Godzilla Minus Zero,2026.0,1381071.0,3.039508230273786,2026-11-03,135,Science Fiction|Horror|Action,Takashi Yamazaki,ja,/hSmIJluOJmTWvJs4d7kHRxjc8s8.jpg,
popular,,Girls Like Girls (2026),Girls Like Girls,2026.0,1397485.0,3.0336745286149345,2026-10-02,95,Romance|Drama,Hayley Kiyoko,en,/gbP30EOIwUW0HZY9BwQMTRrk8uX.jpg,
popular,,The Weight (2026),The Weight,2026.0,1433583.0,3.0031647966142194,2026-10-02,112,Drama|Thriller|Crime,Padraic McKinley,en,/8i5iZV50CoEtmDCFM7RSxCkpE8h.jpg,
popular,,Verity (2026),Verity,2026.0,1283515.0,2.9070154154677743,2026-10-02,117,Mystery|Thriller,Michael Showalter,en,/7ZgjGeacN0PwenoQX4DjI4FlN6Z.jpg,
popular,,The Uprising (2026),The Uprising,2026.0,977942.0,2.8726454226607765,2026-10-09,128,Action|History|Drama,Paul Greengrass,en,/7TUl15TOsIvndKlgMWTtLgtEzZP.jpg,
popular,,Wildwood (2026),Wildwood,2026.0,791523.0,2.8685338025385776,2026-10-23,132,Animation|Adventure|Fantasy,Travis Knight,en,/snFM00mpNAfUzUtkdEW0uDEvXA0.jpg,
popular,,Wicker (2026),Wicker,2026.0,1195803.0,2.8134767455481233,2026-10-30,105,Romance|Fantasy|Comedy,Eleanor Wilson,en,/rnoD8w0SUetL3S4Uje8HgSxDXzK.jpg,
popular,,Whalefall (2026),Whalefall,2026.0,1255833.0,2.774484143699777,2026-10-16,98,Thriller,Brian Duffield,en,/vjTYUTgh9nO88i6HZ4YPRhiFL05.jpg,
popular,,Forgotten Island (2026),Forgotten Island,2026.0,1465063.0,2.7629923907831477,2026-10-04,109,Animation|Adventure|Fantasy|Comedy|Family,Januel Mercado,en,/Lr0Ng7Gg02RW1AyfYEL6P0WUvd.jpg,
