source,film_uri,film_key,film_title,film_year,tmdb_id,pred,release_shown,runtime,genres,overview,director,original_language,poster_path,out_of_range,sensitive_poster
watchlist,https://boxd.it/V4WQ,Possible Love (2026),Possible Love,2026.0,1483525.0,3.9597640333502833,2026-09-23,165,Drama,A laid-off worker and his wife cross paths with a documentary filmmaker and her spouse and confront their hidden desires.,Lee Chang-dong,ko,/dLz9yHeLw4x4sD0WTSNi7HuK2ke.jpg,,False
watchlist,https://boxd.it/w1Nc,Minotaur (2026),Minotaur,2026.0,848700.0,3.820725302765581,2026-10-14,135,Drama|Crime|Thriller,"When Gleb, a successful company director, finds himself under siege from mounting corporate pressures, an increasingly unstable world, and the discovery of his wife's affair, the collapse of his carefully ordered life accelerates toward violence.",Andrey Zvyagintsev,fr,/bM37B5CuMWrPyGPpNsKzTGict4Q.jpg,,False
watchlist,https://boxd.it/zs0M,Ray Gunn (2026),Ray Gunn,2026.0,940009.0,3.414169477218138,2026-10-10,119,Animation|Science Fiction|Crime|Mystery,"In Metropia, a gigantic city in an alternate future as seen from 1939, private eye Raymond Gunn is drawn into a case involving aliens, murder, and a multimedia star named Venus Nova.",Brad Bird,en,/qXexEAo999wlEp5rMsFnVSRaTSM.jpg,,False
watchlist,https://boxd.it/RaaU,Paper Tiger (2026),Paper Tiger,2026.0,1381273.0,3.02639629011825,2026-11-12,115,Crime|Drama|Thriller,"Two brothers become entangled in a scheme that turns out to be too good to be true. As they try to navigate their way through the dangerous world of the Russian mafia, family bonds begin to fray with life-altering consequences.",James Gray,en,/v023L1AFtd3rpy61B5JiEOR1sMF.jpg,,False
watchlist,https://boxd.it/ImWe,Dune: Part Three (2026),Dune: Part Three,2026.0,1170608.0,3.017989199560245,2026-12-15,140,Science Fiction|Adventure,Emperor Paul Atreides faces the fallout from his ascent to power as political plots and a galaxy-wide holy war endanger the future only he can see.,Denis Villeneuve,en,/d43fvHQsIMa4kpyhKXw0haEJIvI.jpg,,False
watchlist,https://boxd.it/QX5s,Primetime (2026),Primetime,2026.0,1375441.0,2.9514194654362558,2026-09-23,110,Drama|Thriller,"In 2006, To Catch a Predator host Chris Hansen sets out to make television history.",Lance Oppenheim,en,/lmrulvLbmaejTix1YaMxo1oGhH1.jpg,,False
watchlist,https://boxd.it/LwDC,Digger (2026),Digger,2026.0,1248832.0,2.903352915757489,2026-09-30,129,Comedy,The most powerful man in the world embarks on a frantic mission to prove he is humanity's savior before the disaster he's unleashed destroys everything.,Alejandro G. Iñárritu,en,/1ATXKrIPJyKNwnJ6lcG088Sa6zi.jpg,,False
watchlist,https://boxd.it/RTVm,Clayface (2026),Clayface,2026.0,1400940.0,2.831296914337169,2026-10-21,108,Horror|Thriller|Science Fiction,"Matt Hagen's meteoric rise from Gotham street kid to Hollywood leading man is tragically cut short when a local crime boss's actions leave him horribly disfigured. Abandoned by his team and with nothing left, Matt seeks out a cutting edge treatment that miraculously returns him to his former self… but also unexpectedly affects his grip on reality, spiraling him down a destructive path of all-consuming revenge.",James Watkins,en,/5jCpQnWPikggmQZoDp1eAi6BI6w.jpg,,False
watchlist,https://boxd.it/BVqy,Avengers: Doomsday (2026),Avengers: Doomsday,2026.0,1003596.0,2.8108750609482738,2026-12-16,165,Science Fiction|Action|Adventure,Beloved heroes from three distinct universes are set on a deadly collision course and face an existential threat unlike anything they've ever encountered.,Joe Russo,en,/jzPwsojjFStf5lR5Nm07w2hH56G.jpg,,False
watchlist,https://boxd.it/Rw9k,The Debut (2026),The Debut,2026.0,1391239.0,2.8037503548218052,2026-12-10,105,Music|Comedy|Drama,"When Mona Friedman is cast in a bit part at a small community theater, she transforms from a shy, unassuming housewife into a zealous method actor willing to do anything to protect the artistic integrity of her marginal role—even if it means waging war against the show’s domineering director.",Jesse Eisenberg,en,/5CZdxLiBpYMBXwo0rur6YzZTVP4.jpg,,False
watchlist,https://boxd.it/xG0M,Wild Horse Nine (2026),Wild Horse Nine,2026.0,891621.0,2.7900893011835475,2026-11-04,118,Comedy|Crime|Thriller,"Shortly before the 1973 Chilean coup, CIA agents Chris and Lee are dispatched from Santiago to Easter Island by their bureau chief, MJ. Amongst the Island's iconic statues, and as the longtime partners wrestle with their dark pasts and present conspiracies, Chris's newfound bond with a pair of rebellious students threatens to send everyone’s trip to this remote paradise sideways.",Martin McDonagh,en,/dNJFRtVg3xLQ7dbNIQ55cmmIniD.jpg,,False
popular,,La bola negra (2026),La bola negra,2026.0,1422041.0,3.6660703517145254,2026-11-06,155,Drama|War,"The intertwined lives of three men in three different eras, three lives intimately linked by sexuality and desire, pain, and legacy.",Javier Ambrossi,es,/oNvDkdJ0Ykx4sOrcxsFtE6LoOS.jpg,,False
popular,,The Paradise (2026),The Paradise,2026.0,1376856.0,3.597858834830507,2026-09-23,174,Action|Thriller|Drama,"In 1980s Secunderabad, a marginalized tribe battles discrimination and fights for citizenship under an unexpected leader's guidance, challenging systemic oppression.",Srikanth Odela,te,/9k5F5Lk2bUP7ODifk1KP5Vw8yGm.jpg,,False
popular,,V (2026),V,2026.0,1567937.0,3.512351549432779,2026-09-25,160,Drama|Crime,"In the early 1990s, this city of desire, once a land of opportunity, was plagued by rampant crime and a breakdown of order. Man Tsz-keung, a working-class man desperate to change his fate, meets flight attendant Lok Ka-yuen, and the two team up to rob a large sum of money. This success fuels Man Tsz-keung's madness, pushing him into a deeper power struggle with wealthy businessman Chan Fai-yin. Meanwhile, mainland police officer Qi Honggang and Hong Kong police officer Guan Suchen continue their investigation of Wan Ziqiang, leading to a joint operation between the two police forces, setting the stage for a clash between good and evil. This film is fictional.",Han Yan,cn,/rNqQQ3hFknhKpy8OTyGfzk7FY20.jpg,,False
popular,,Gentle Monster (2026),Gentle Monster,2026.0,1473148.0,3.415537831317578,2026-10-30,114,Drama,"After relocating with her family to the countryside, a renowned pianist uncovers a life-shattering truth that forces her to confront the complexities of love, trust, and deception.",Marie Kreutzer,de,/v7sbP2qv8ezCfo9FOI6DVUXDSaw.jpg,,False
popular,,Sense and Sensibility (2026),Sense and Sensibility,2026.0,1503762.0,3.026527331079561,2026-09-25,132,Drama|Romance,"An irresistible new take on Jane Austen’s iconic Sense and Sensibility: a charming, witty, and deeply relatable story of love and sisterhood.",Georgia Oakley,en,/czsyPHosFNbh4PPqXfqWu1aBXnA.jpg,,False
popular,,Girls Like Girls (2026),Girls Like Girls,2026.0,1397485.0,3.023403927237782,2026-10-02,95,Romance|Drama,"After her mother's passing, 17-year-old Coley navigates new feelings of intimacy with Sonya in rural Oregon, where both girls must overcome their mutual uncertainties and self-doubt to embrace their connection.",Hayley Kiyoko,en,/gbP30EOIwUW0HZY9BwQMTRrk8uX.jpg,,False
popular,,The Weight (2026),The Weight,2026.0,1433583.0,2.995410392190203,2026-10-02,112,Drama|Thriller|Crime,"When Samuel is torn from his daughter and sent to a brutal prison, Warden Clancy offers him a high-stakes proposition: smuggle gold out of a remote mine with a dangerous crew of prisoners and he’ll win his freedom.",Padraic McKinley,en,/8i5iZV50CoEtmDCFM7RSxCkpE8h.jpg,,False
popular,,Godzilla Minus Zero (2026),Godzilla Minus Zero,2026.0,1381071.0,2.9893460805257996,2026-11-03,135,Science Fiction|Horror|Action,"War reduced Japan to zero, and Godzilla plunged it into minus. Two years have passed since then, and the country has faced agonizing struggles to achieve recovery and finally reclaim its daily life. Just as humanity managed to cling to a hard-won peace, a new threat strikes, crushing hope in an instant.",Takashi Yamazaki,ja,/hSmIJluOJmTWvJs4d7kHRxjc8s8.jpg,,False
popular,,Verity (2026),Verity,2026.0,1283515.0,2.9129017270204276,2026-10-02,117,Mystery|Thriller,"Lowen Ashleigh is hired by Jeremy Crawford to ghostwrite novels for his bestselling author wife Verity, who is unable to finish following an accident. Lowen gradually uncovers Verity's disturbing truths while residing at the Crawfords' home to work.",Michael Showalter,en,/7ZgjGeacN0PwenoQX4DjI4FlN6Z.jpg,,False
popular,,Wildwood (2026),Wildwood,2026.0,791523.0,2.888742951185236,2026-10-23,132,Animation|Adventure|Fantasy,"Prue and her classmate Curtis are drawn into a magical forest filled with enchanted creatures, loyal allies, and formidable adversaries as they embark on a desperate quest to rescue Prue’s abducted baby brother from a murder of crows led by a mysterious woman named Alexandra.",Travis Knight,en,/snFM00mpNAfUzUtkdEW0uDEvXA0.jpg,,False
popular,,The Uprising (2026),The Uprising,2026.0,977942.0,2.862849534533726,2026-10-09,128,Action|History|Drama,"As war and plague devastate 14th-century England, a humble peasant ignites a rebellion, uniting an army of commoners to defy the King’s might in a desperate fight for justice and survival.",Paul Greengrass,en,/7TUl15TOsIvndKlgMWTtLgtEzZP.jpg,,False
popular,,Wicker (2026),Wicker,2026.0,1195803.0,2.8383246810840244,2026-10-30,105,Romance|Fantasy|Comedy,"On the outskirts of a village by the sea, lives a Fisherwoman; smelly, single and perpetually ridiculed. One day, fed up with her stuffy, small-minded neighbours, she commissions herself a husband to be made from wicker. In an otherwise conservative town, this unconventional romance sparks outrage, jealousy and chaos.",Eleanor Wilson,en,/rnoD8w0SUetL3S4Uje8HgSxDXzK.jpg,,False
