film_uri,rank,neighbour_key,neighbour_title,neighbour_year,neighbour_rating,neighbour_tmdb_id,neighbour_poster,share,neighbour_sensitive
https://boxd.it/6hQu,1,Obsession (2025),Obsession,2025,4.0,1339713.0,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,0.038210936,False
https://boxd.it/6hQu,2,Mortal Kombat II (2026),Mortal Kombat II,2026,2.0,931285.0,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,0.035456415,False
https://boxd.it/6hQu,3,Spider-Man: Brand New Day (2026),Spider-Man: Brand New Day,2026,3.5,969681.0,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,0.034387514,False
https://boxd.it/6hQu,4,Mayday (2026),Mayday,2026,2.0,1137844.0,/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,0.033694517,False
https://boxd.it/6hQu,5,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,2.5,1228710.0,/uwMKWjcNID0D9jjplsjkQS2OrB4.jpg,0.03049983,False
https://boxd.it/lbJC,1,Send Help (2026),Send Help,2026,3.0,1198994.0,/zbJWVHOtj3ljBzWgL1P8pxP03Up.jpg,0.03526687,False
https://boxd.it/lbJC,2,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.02874843,False
https://boxd.it/lbJC,3,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,2.5,1228710.0,/uwMKWjcNID0D9jjplsjkQS2OrB4.jpg,0.02849445,False
https://boxd.it/lbJC,4,The Last Sunrise (2026),The Last Sunrise,2026,2.5,1516698.0,/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,0.026271245,False
https://boxd.it/lbJC,5,Masters of the Universe (2026),Masters of the Universe,2026,3.0,454639.0,/oRuyGUHdoaQxWP3SDfafGkStxTC.jpg,0.024705755,False
https://boxd.it/jz2e,1,Mayday (2026),Mayday,2026,2.0,1137844.0,/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,0.06018751,False
https://boxd.it/jz2e,2,Spider-Man: Brand New Day (2026),Spider-Man: Brand New Day,2026,3.5,969681.0,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,0.05693493,False
https://boxd.it/jz2e,3,Mortal Kombat II (2026),Mortal Kombat II,2026,2.0,931285.0,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,0.053005494,False
https://boxd.it/jz2e,4,Obsession (2025),Obsession,2025,4.0,1339713.0,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,0.05288228,False
https://boxd.it/jz2e,5,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,2.5,1228710.0,/uwMKWjcNID0D9jjplsjkQS2OrB4.jpg,0.048978616,False
https://boxd.it/nVkC,1,Thor: Love and Thunder (2022),Thor: Love and Thunder,2022,4.0,616037.0,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,0.07822175,False
https://boxd.it/nVkC,2,The Naked Gun (2025),The Naked Gun,2025,4.0,1035259.0,/rwla9vqzrKVVKVKiOuROTIXGsxj.jpg,0.07290669,False
https://boxd.it/nVkC,3,Indiana Jones and the Dial of Destiny (2023),Indiana Jones and the Dial of Destiny,2023,3.5,335977.0,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,0.049225904,False
https://boxd.it/nVkC,4,Wolfs (2024),Wolfs,2024,3.0,877817.0,/vOX1Zng472PC2KnS0B9nRfM8aaZ.jpg,0.046081763,False
https://boxd.it/nVkC,5,Bodies Bodies Bodies (2022),Bodies Bodies Bodies,2022,4.0,520023.0,/hSuTjDmqRdy7Dii8ymnF2WILTeP.jpg,0.045619063,False
https://boxd.it/mQbe,1,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,2.5,1228710.0,/uwMKWjcNID0D9jjplsjkQS2OrB4.jpg,0.048874307,False
https://boxd.it/mQbe,2,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.04648608,False
https://boxd.it/mQbe,3,Spider-Man: Brand New Day (2026),Spider-Man: Brand New Day,2026,3.5,969681.0,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,0.037634015,False
https://boxd.it/mQbe,4,Mayday (2026),Mayday,2026,2.0,1137844.0,/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,0.03749142,False
https://boxd.it/mQbe,5,Mortal Kombat II (2026),Mortal Kombat II,2026,2.0,931285.0,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,0.036454532,False
https://boxd.it/oyws,1,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show,1975,1.5,36685.0,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,0.03509004,False
https://boxd.it/oyws,2,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,2.5,1228710.0,/uwMKWjcNID0D9jjplsjkQS2OrB4.jpg,0.03445164,False
https://boxd.it/oyws,3,Mayday (2026),Mayday,2026,2.0,1137844.0,/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,0.03132261,False
https://boxd.it/oyws,4,Spider-Man: Brand New Day (2026),Spider-Man: Brand New Day,2026,3.5,969681.0,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,0.030818386,False
https://boxd.it/oyws,5,Obsession (2025),Obsession,2025,4.0,1339713.0,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,0.029594304,False
https://boxd.it/sxVa,1,The Last Sunrise (2026),The Last Sunrise,2026,2.5,1516698.0,/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,0.036756475,False
https://boxd.it/sxVa,2,Nobody 2 (2025),Nobody 2,2025,2.0,1007734.0,/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,0.020106003,False
